cell_id,lat,lon,lat_min,lon_min,land_frac
03925_01625,39.25,16.25,39.2,16.2,1.0
03925_01635,39.25,16.35,39.2,16.3,1.0
03925_01645,39.25,16.45,39.2,16.4,1.0
03925_01655,39.25,16.55,39.2,16.5,1.0
03925_01665,39.25,16.65,39.2,16.6,1.0
03925_01675,39.25,16.75,39.2,16.7,1.0
03925_01685,39.25,16.85,39.2,16.8,1.0
03925_01695,39.25,16.95,39.2,16.9,1.0
03925_01705,39.25,17.05,39.2,17.0,1.0
03925_01715,39.25,17.15,39.2,17.1,0.1837
03935_00835,39.35,8.35,39.3,8.3,0.0869
03935_00845,39.35,8.45,39.3,8.4,0.9062
03935_00855,39.35,8.55,39.3,8.5,1.0
03935_00865,39.35,8.65,39.3,8.6,1.0
03935_00875,39.35,8.75,39.3,8.7,1.0
03935_00885,39.35,8.85,39.3,8.8,1.0
03935_00895,39.35,8.95,39.3,8.9,1.0
03935_00905,39.35,9.05,39.3,9.0,1.0
03935_00915,39.35,9.15,39.3,9.1,1.0
03935_00925,39.35,9.25,39.3,9.2,1.0
03935_00935,39.35,9.35,39.3,9.3,1.0
03935_00945,39.35,9.45,39.3,9.4,1.0
03935_00955,39.35,9.55,39.3,9.5,0.9951
03935_00965,39.35,9.65,39.3,9.6,0.0616
03935_01605,39.35,16.05,39.3,16.0,0.6687
03935_01615,39.35,16.15,39.3,16.1,1.0
03935_01625,39.35,16.25,39.3,16.2,1.0
03935_01635,39.35,16.35,39.3,16.3,1.0
03935_01645,39.35,16.45,39.3,16.4,1.0
03935_01655,39.35,16.55,39.3,16.5,1.0
03935_01665,39.35,16.65,39.3,16.6,1.0
03935_01675,39.35,16.75,39.3,16.7,1.0
03935_01685,39.35,16.85,39.3,16.8,1.0
03935_01695,39.35,16.95,39.3,16.9,1.0
03935_01705,39.35,17.05,39.3,17.0,1.0
03935_01715,39.35,17.15,39.3,17.1,0.2848
03945_00835,39.45,8.35,39.4,8.3,0.0501
03945_00845,39.45,8.45,39.4,8.4,0.9484
03945_00855,39.45,8.55,39.4,8.5,1.0
03945_00865,39.45,8.65,39.4,8.6,1.0
03945_00875,39.45,8.75,39.4,8.7,1.0
03945_00885,39.45,8.85,39.4,8.8,1.0
03945_00895,39.45,8.95,39.4,8.9,1.0
03945_00905,39.45,9.05,39.4,9.0,1.0
03945_00915,39.45,9.15,39.4,9.1,1.0
03945_00925,39.45,9.25,39.4,9.2,1.0
03945_00935,39.45,9.35,39.4,9.3,1.0
03945_00945,39.45,9.45,39.4,9.4,1.0
03945_00955,39.45,9.55,39.4,9.5,1.0
03945_00965,39.45,9.65,39.4,9.6,0.3501
03945_01595,39.45,15.95,39.4,15.9,0.1784
03945_01605,39.45,16.05,39.4,16.0,0.9766
03945_01615,39.45,16.15,39.4,16.1,1.0
03945_01625,39.45,16.25,39.4,16.2,1.0
03945_01635,39.45,16.35,39.4,16.3,1.0
03945_01645,39.45,16.45,39.4,16.4,1.0
